ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Applications Granted - PV Mode wise","RPO Amritsar","Pre Verification",2348,13938,155723,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Amritsar","More than 21 Days",716,3908,34645,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Amritsar","Within 21 Days",3049,13168,135535,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bangalore",Normal,15473,15473,57000,"2016-12-25 04:03:38.838183"
"Applications Received - Scheme wise","RPO Bangalore",Tatkaal,923,923,4071,"2016-12-25 04:03:38.838183"
"Applications Received - Gender wise","RPO Bangalore",FEMALE,6642,6642,25471,"2016-12-25 04:03:38.838183"
"Applications Received - Gender wise","RPO Bangalore",MALE,9752,9752,38069,"2016-12-25 04:03:38.838183"
"Applications Received - Gender wise","RPO Bangalore",TRANSGENDER,0,0,0,"2016-12-25 04:03:38.838183"
"Applications with Aadhaar Number","RPO Bangalore","Count of Applications",16394,16394,63540,"2016-12-25 04:03:38.838183"
"Applications - Education Wise","RPO Bangalore","10TH PASS AND ABOVE",5070,5070,19490,"2016-12-25 04:03:38.838183"
"Applications - Education Wise","RPO Bangalore","5TH PASS OR LESS",3512,3512,13588,"2016-12-25 04:03:38.838183"
"Applications - Education Wise","RPO Bangalore","BETWEEN 6TH AND 9TH STANDARD",2078,2078,7699,"2016-12-25 04:03:38.838183"
"Applications - Education Wise","RPO Bangalore","GRADUATE AND ABOVE",5730,5730,22712,"2016-12-25 04:03:38.838183"
"Applications - Age Wise Wise","RPO Bangalore",Between_18_to_35,7653,7653,29491,"2016-12-25 04:03:38.838183"
"Applications - Age Wise Wise","RPO Bangalore",Between_36_to_60,4923,4923,18658,"2016-12-25 04:03:38.838183"
"Applications - Age Wise Wise","RPO Bangalore",GreaterThan60,1398,1398,5584,"2016-12-25 04:03:38.838183"
"Applications - Age Wise Wise","RPO Bangalore",LessThan18,2420,2420,9807,"2016-12-25 04:03:38.838183"
"Application Fee Online Payment - Mode Wise","RPO Bangalore",Challan,2682000,2682000,12427000,"2016-12-25 04:03:38.838183"
"Application Fee Online Payment - Mode Wise","RPO Bangalore","Credit/ Debit Card",12291000,12291000,63429500,"2016-12-25 04:03:38.838183"
"Application Fee Online Payment - Mode Wise","RPO Bangalore",Online,6147500,6147500,29784000,"2016-12-25 04:03:38.838183"
"Applications Received - Service Wise","RPO Bangalore",FRESH,9603,9603,35845,"2016-12-25 04:03:38.838183"
"Applications Received - Service Wise","RPO Bangalore",PCC,329,329,1276,"2016-12-25 04:03:38.838183"
"Applications Received - Service Wise","RPO Bangalore",REISSUE,6462,6462,23942,"2016-12-25 04:03:38.838183"
"Applications Granted - PV Mode wise","RPO Bangalore","No Verification",5361,5361,21698,"2016-12-25 04:03:38.838183"
"Applications Granted - PV Mode wise","RPO Bangalore","Post Verification",1062,1062,4149,"2016-12-25 04:03:38.838183"
"Applications Granted - PV Mode wise","RPO Bangalore","Pre Verification",9169,9169,34223,"2016-12-25 04:03:38.838183"
"PV Processing Time","RPO Bangalore","More than 21 Days",3242,3242,17857,"2016-12-25 04:03:38.838183"
"PV Processing Time","RPO Bangalore","Within 21 Days",3703,3703,18644,"2016-12-25 04:03:38.838183"
"Applications Received - Scheme wise","RPO Bareilly",Normal,3859,14304,123862,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Bareilly",Tatkaal,77,327,2415,"2019-11-03 04:29:09.831353"
