ServiceName,RpoName,SchemeType,LastWeekCount,LastMonthCount,YearTillDate,Date
"Applications - Age Wise Wise","RPO Coimbatore",LessThan18,442,1961,19630,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Coimbatore",Challan,34800,123700,1713550,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Coimbatore","Credit/ Debit Card",2083950,9450950,104667050,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Coimbatore",Online,890000,4233200,54420950,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Coimbatore",FRESH,1662,8340,99594,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Coimbatore",PCC,76,387,3970,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Coimbatore",REISSUE,861,3882,42548,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Coimbatore","No Verification",417,1733,23716,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Coimbatore","Post Verification",388,1989,17601,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Coimbatore","Pre Verification",1364,6669,82943,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Coimbatore","More than 21 Days",4,184,2077,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Coimbatore","Within 21 Days",1990,8458,98145,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Dehradun",Normal,2090,8345,90228,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Dehradun",Tatkaal,22,91,803,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Dehradun",FEMALE,675,2589,28359,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Dehradun",MALE,1437,5847,62664,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Dehradun",TRANSGENDER,0,0,3,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Dehradun","Count of Applications",2112,8436,91026,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Dehradun","10TH PASS AND ABOVE",736,2872,32719,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Dehradun","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Dehradun","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Dehradun","GRADUATE AND ABOVE",734,2866,30400,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Dehradun",Between_18_to_35,1318,5128,54331,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Dehradun",Between_36_to_60,458,1987,21983,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Dehradun",GreaterThan60,143,571,6459,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Dehradun",LessThan18,193,750,8253,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Dehradun",Challan,47350,236500,3411450,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Dehradun","Credit/ Debit Card",1457550,6650650,72813950,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Dehradun",Online,752850,3285750,43221100,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Dehradun",FRESH,1549,6249,67115,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Dehradun",PCC,67,375,4192,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Dehradun",REISSUE,495,1811,19699,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Dehradun","No Verification",50,369,4397,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Dehradun","Post Verification",86,638,8516,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Dehradun","Pre Verification",322,5345,69294,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Dehradun","More than 21 Days",137,654,9693,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Dehradun","Within 21 Days",1460,7157,69890,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Delhi",Normal,8682,42993,509807,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Delhi",Tatkaal,932,4142,56603,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Delhi",FEMALE,3840,18253,228179,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Delhi",MALE,5770,28861,338093,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Delhi",TRANSGENDER,1,4,29,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Delhi","Count of Applications",9611,47118,566301,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Delhi","10TH PASS AND ABOVE",2625,13351,164787,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Delhi","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Delhi","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Delhi","GRADUATE AND ABOVE",4419,21715,259227,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Delhi",Between_18_to_35,4605,23263,271122,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Delhi",Between_36_to_60,2612,12960,161817,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Delhi",GreaterThan60,686,3465,41037,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Delhi",LessThan18,1708,7430,92325,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Delhi",Challan,99050,554600,8952900,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Delhi","Credit/ Debit Card",10111150,45056950,564605600,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Delhi",Online,1829200,8698950,113212700,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Delhi",FRESH,5487,27734,326780,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Delhi",PCC,301,1465,16516,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Delhi",REISSUE,3807,17869,222488,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Delhi","No Verification",344,1601,24782,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Delhi","Post Verification",2104,10044,122422,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Delhi","Pre Verification",7861,33099,363928,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Delhi","More than 21 Days",568,1565,9815,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Delhi","Within 21 Days",6745,36024,395839,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Ghaziabad",Normal,4583,23682,220269,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Ghaziabad",Tatkaal,176,898,11213,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ghaziabad",FEMALE,1610,7888,77568,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ghaziabad",MALE,3149,16692,153888,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Ghaziabad",TRANSGENDER,0,0,13,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Ghaziabad","Count of Applications",4759,24580,231469,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ghaziabad","10TH PASS AND ABOVE",1149,6055,59209,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ghaziabad","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ghaziabad","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Ghaziabad","GRADUATE AND ABOVE",1602,8636,86564,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ghaziabad",Between_18_to_35,2609,13565,122644,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ghaziabad",Between_36_to_60,1259,6479,64407,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ghaziabad",GreaterThan60,317,1748,16427,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Ghaziabad",LessThan18,574,2788,27991,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ghaziabad",Challan,86550,508500,6732000,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ghaziabad","Credit/ Debit Card",3666050,18299300,194638200,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Ghaziabad",Online,1552050,8050800,86680550,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ghaziabad",FRESH,3442,17816,161366,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ghaziabad",PCC,127,678,6978,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Ghaziabad",REISSUE,1187,6075,63040,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ghaziabad","No Verification",275,1231,13887,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ghaziabad","Post Verification",623,2879,34204,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Ghaziabad","Pre Verification",3478,16491,174812,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Ghaziabad","More than 21 Days",438,1553,21997,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Ghaziabad","Within 21 Days",2855,17485,164136,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Goa",Normal,1013,4398,49077,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Goa",Tatkaal,35,142,1296,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Goa",FEMALE,435,1915,21182,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Goa",MALE,562,2423,26601,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Goa",TRANSGENDER,0,0,0,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Goa","Count of Applications",997,4338,47783,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Goa","10TH PASS AND ABOVE",394,1776,19654,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Goa","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Goa","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Goa","GRADUATE AND ABOVE",265,1140,11725,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Goa",Between_18_to_35,398,2035,20751,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Goa",Between_36_to_60,300,1294,14821,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Goa",GreaterThan60,76,376,4481,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Goa",LessThan18,223,633,7730,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Goa",Challan,200300,619750,9066000,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Goa","Credit/ Debit Card",991600,4000950,43790750,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Goa",Online,317050,1536650,17061650,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Goa",FRESH,432,2099,23544,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Goa",PCC,82,351,2842,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Goa",REISSUE,483,1888,21392,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Goa","No Verification",234,698,8127,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Goa","Post Verification",190,808,8179,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Goa","Pre Verification",450,2261,24688,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Goa","More than 21 Days",15,56,1299,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Goa","Within 21 Days",700,2996,29802,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Guwahati",Normal,2976,12045,113081,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Guwahati",Tatkaal,197,1354,11196,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Guwahati",FEMALE,1159,5046,47510,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Guwahati",MALE,2014,8353,76763,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Guwahati",TRANSGENDER,0,0,3,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Guwahati","Count of Applications",3173,13399,124276,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Guwahati","10TH PASS AND ABOVE",1031,4439,44480,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Guwahati","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Guwahati","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Guwahati","GRADUATE AND ABOVE",1060,4521,42655,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Guwahati",Between_18_to_35,1539,6537,64879,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Guwahati",Between_36_to_60,1073,4454,39207,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Guwahati",GreaterThan60,230,1003,8129,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Guwahati",LessThan18,331,1405,12061,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Guwahati",Challan,42850,191800,3430900,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Guwahati","Credit/ Debit Card",2044450,11059400,100163550,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Guwahati",Online,1121850,6680550,66077150,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Guwahati",FRESH,2607,11028,101969,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Guwahati",PCC,73,311,2805,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Guwahati",REISSUE,492,2056,19493,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Guwahati","No Verification",405,1903,17684,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Guwahati","Post Verification",508,2587,22381,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Guwahati","Pre Verification",1113,4342,43566,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Guwahati","More than 21 Days",1419,6827,64230,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Guwahati","Within 21 Days",189,610,6090,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Hyderabad",Normal,9940,46251,455010,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Hyderabad",Tatkaal,342,1421,15714,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Hyderabad",FEMALE,3921,18916,182816,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Hyderabad",MALE,6358,28738,287793,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Hyderabad",TRANSGENDER,0,1,12,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Hyderabad","Count of Applications",10279,47655,470621,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Hyderabad","10TH PASS AND ABOVE",3256,15256,152407,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Hyderabad","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Hyderabad","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Hyderabad","GRADUATE AND ABOVE",3411,15332,157847,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Hyderabad",Between_18_to_35,5327,23411,235643,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Hyderabad",Between_36_to_60,2857,13193,132118,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Hyderabad",GreaterThan60,606,2836,30425,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Hyderabad",LessThan18,1489,8215,72435,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Hyderabad",Challan,73300,353850,4153750,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Hyderabad","Credit/ Debit Card",6662950,32176800,313582500,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Hyderabad",Online,5036850,23648050,240724300,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Hyderabad",FRESH,6447,29553,291380,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Hyderabad",PCC,436,1932,18224,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Hyderabad",REISSUE,3385,16115,160586,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Hyderabad","No Verification",2554,11386,116427,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Hyderabad","Post Verification",1269,6332,58083,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Hyderabad","Pre Verification",6277,28696,278947,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Hyderabad","More than 21 Days",17,71,997,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Hyderabad","Within 21 Days",5774,27332,289615,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jaipur",Normal,6131,30227,305331,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jaipur",Tatkaal,418,1742,15399,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jaipur",FEMALE,1982,9299,93876,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jaipur",MALE,4567,22670,226833,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jaipur",TRANSGENDER,0,0,17,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Jaipur","Count of Applications",6549,31969,320726,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jaipur","10TH PASS AND ABOVE",1868,9656,98984,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jaipur","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jaipur","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jaipur","GRADUATE AND ABOVE",2222,9499,97211,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jaipur",Between_18_to_35,3740,18141,179434,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jaipur",Between_36_to_60,1705,8631,88505,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jaipur",GreaterThan60,426,2046,19284,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jaipur",LessThan18,678,3151,33503,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jaipur",Challan,101000,598150,7740750,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jaipur","Credit/ Debit Card",4225350,19192800,213574150,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jaipur",Online,3318050,15546150,178812600,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jaipur",FRESH,4761,23193,231224,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jaipur",PCC,237,1476,14534,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jaipur",REISSUE,1549,7294,74897,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jaipur","No Verification",482,2504,24430,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jaipur","Post Verification",725,3391,34136,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jaipur","Pre Verification",3410,16839,163197,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jaipur","More than 21 Days",1263,7322,54270,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jaipur","Within 21 Days",2834,16655,188138,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jalandhar",Normal,5010,27444,339453,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jalandhar",Tatkaal,16,79,920,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jalandhar",FEMALE,2051,11030,137653,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jalandhar",MALE,2974,16487,202632,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jalandhar",TRANSGENDER,0,0,6,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Jalandhar","Count of Applications",5025,27517,340291,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jalandhar","10TH PASS AND ABOVE",2481,13741,172183,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jalandhar","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jalandhar","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jalandhar","GRADUATE AND ABOVE",635,2898,34532,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jalandhar",Between_18_to_35,2610,14263,176837,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jalandhar",Between_36_to_60,1354,7720,96899,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jalandhar",GreaterThan60,362,1923,23079,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jalandhar",LessThan18,699,3611,43476,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jalandhar",Challan,85900,470150,9093300,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jalandhar","Credit/ Debit Card",3902700,18621500,213505250,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jalandhar",Online,2365500,11782900,161482500,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jalandhar",FRESH,2557,14179,180452,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jalandhar",PCC,547,3138,28194,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jalandhar",REISSUE,1921,10200,131642,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jalandhar","No Verification",401,1984,22994,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jalandhar","Post Verification",314,1502,22088,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jalandhar","Pre Verification",4316,24036,294746,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jalandhar","More than 21 Days",160,841,9214,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jalandhar","Within 21 Days",6006,24889,288860,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jammu",Normal,962,4391,46964,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Jammu",Tatkaal,0,0,2,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jammu",FEMALE,274,1260,13484,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jammu",MALE,688,3130,33037,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Jammu",TRANSGENDER,0,1,1,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Jammu","Count of Applications",962,4391,46522,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jammu","10TH PASS AND ABOVE",499,2192,25342,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jammu","5TH PASS OR LESS",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jammu","BETWEEN 6TH AND 9TH STANDARD",0,0,0,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Jammu","GRADUATE AND ABOVE",130,654,4354,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jammu",Between_18_to_35,556,2443,26147,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jammu",Between_36_to_60,246,1149,12379,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jammu",GreaterThan60,82,377,3679,"2019-11-03 04:29:09.831353"
"Applications - Age Wise Wise","RPO Jammu",LessThan18,78,422,4317,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jammu",Challan,27850,106750,1509250,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jammu","Credit/ Debit Card",913550,3616100,37737400,"2019-11-03 04:29:09.831353"
"Application Fee Online Payment - Mode Wise","RPO Jammu",Online,382750,1718750,18954000,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jammu",FRESH,708,3353,34823,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jammu",PCC,39,183,3026,"2019-11-03 04:29:09.831353"
"Applications Received - Service Wise","RPO Jammu",REISSUE,213,851,9107,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jammu","No Verification",28,119,1769,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jammu","Post Verification",2,45,437,"2019-11-03 04:29:09.831353"
"Applications Granted - PV Mode wise","RPO Jammu","Pre Verification",856,3967,40243,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jammu","More than 21 Days",576,3931,43146,"2019-11-03 04:29:09.831353"
"PV Processing Time","RPO Jammu","Within 21 Days",15,74,1277,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Kolkata",Normal,12580,50648,514685,"2019-11-03 04:29:09.831353"
"Applications Received - Scheme wise","RPO Kolkata",Tatkaal,606,2754,21888,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Kolkata",FEMALE,4351,17113,173990,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Kolkata",MALE,8834,36281,362517,"2019-11-03 04:29:09.831353"
"Applications Received - Gender wise","RPO Kolkata",TRANSGENDER,1,6,51,"2019-11-03 04:29:09.831353"
"Applications with Aadhaar Number","RPO Kolkata","Count of Applications",13186,53400,536558,"2019-11-03 04:29:09.831353"
"Applications - Education Wise","RPO Kolkata","10TH PASS AND ABOVE",3936,16448,168726,"2019-11-03 04:29:09.831353"
